insee,nom,surf_ha,"
Code 
Commune
","Population 
municipale 
2018",Densité pop en hab/ha,,,
11075,Castans,1742,11075,133,0.076349024,,,
11076,Castelnaudary,4782,11076,11951,2.49916353,,,
11077,Castelnau-d'Aude,749,11077,497,0.663551402,,,
11078,Castelreng,1132,11078,208,0.183745583,,,
11079,Caudebronde,652,11079,197,0.302147239,,,
11080,Val de Lambronne,1220,11080,174,0.142622951,,,
11081,Caunes-Minervois,2870,11081,1641,0.571777003,,,
11082,Caunette-sur-Lauquet,516,11082,6,0.011627907,,,
11083,Caunettes-en-Val,877,11083,48,0.054732041,,,
11084,Caux-et-Sauzens,914,11084,999,1.092997812,,,
11085,Cavanac,891,11085,939,1.053872054,,,
11086,Caves,893,11086,886,0.992161254,,,
11087,Cazalrenoux,1384,11087,91,0.065751445,,,
11088,Cazilhac,412,11088,1650,4.004854369,,,
11089,Cenne-Monestiés,779,11089,406,0.521181001,,,
11090,Cépie,686,11090,631,0.919825073,,,
11091,Chalabre,1594,11091,1121,0.703262233,,,
11092,Citou,1777,11092,88,0.049521666,,,
11093,Le Clat,1037,11093,30,0.028929605,,,
11094,Clermont-sur-Lauquet,1870,11094,26,0.013903743,,,
11095,Comigne,956,11095,307,0.321129707,,,
11096,Comus,1435,11096,40,0.027874564,,,
11098,Conilhac-Corbières,1227,11098,910,0.741646292,,,
11099,Conques-sur-Orbiel,2570,11099,2545,0.990272374,,,
11100,Corbières,872,11100,27,0.030963303,,,
11101,Coudons,960,11101,52,0.054166667,,,
11102,Couffoulens,1022,11102,605,0.591976517,,,
11103,Couiza,686,11103,1115,1.625364431,,,
11104,Counozouls,2825,11104,49,0.017345133,,,
11105,Cournanel,638,11105,722,1.131661442,,,
11106,Coursan,2454,11106,5864,2.389568052,,,
11107,Courtauly,788,11107,76,0.096446701,,,
11108,La Courtète,566,11108,46,0.081272085,,,
11109,Coustaussa,472,11109,53,0.112288136,,,
11110,Coustouge,983,11110,119,0.121057986,,,
11111,Cruscades,967,11111,944,0.976215098,,,
11112,Cubières-sur-Cinoble,1488,11112,90,0.060483871,,,
11113,Cucugnan,1506,11113,119,0.079017264,,,
11114,Cumiès,405,11114,37,0.091358025,,,
11115,Cuxac-Cabardès,2542,11115,906,0.356412274,,,
11116,Cuxac-d'Aude,2174,11116,4026,1.851885925,,,
11117,Davejean,1365,11117,118,0.086446886,,,
11118,Dernacueillette,800,11118,43,0.05375,,,
11119,La Digne-d'Amont,376,11119,291,0.77393617,,,
11120,La Digne-d'Aval,324,11120,533,1.645061728,,,
11121,Donazac,523,11121,110,0.210325048,,,
11122,Douzens,1486,11122,741,0.498654105,,,
11123,Duilhac-sous-Peyrepertuse,2144,11123,145,0.067630597,,,
11124,Durban-Corbières,2587,11124,651,0.25164283,,,
11125,Embres-et-Castelmaure,3235,11125,151,0.046676971,,,
11126,Escales,1028,11126,473,0.460116732,,,
11127,Escouloubre,3087,11127,72,0.023323615,,,
11128,Escueillens-et-Saint-Just-de-Bélengard,1172,11128,150,0.127986348,,,
11129,Espéraza,1060,11129,1800,1.698113208,,,
11130,Espezel,1487,11130,217,0.145931406,,,
11131,Val-du-Faby,2454,11131,564,0.229828851,,,
11132,Fabrezan,2913,11132,1273,0.437006522,,,
11133,Fajac-en-Val,1393,11133,39,0.027997128,,,
11134,Fajac-la-Relenque,368,11134,50,0.135869565,,,
11135,La Fajolle,1594,11135,12,0.007528231,,,
11136,Fanjeaux,2499,11136,835,0.334133653,,,
11137,Félines-Termenès,1061,11137,122,0.114985862,,,
11138,Fendeille,728,11138,531,0.729395604,,,
11139,Fenouillet-du-Razès,751,11139,81,0.107856192,,,
11140,Ferrals-les-Corbières,1599,11140,1213,0.758599124,,,
11141,Ferran,611,11141,115,0.188216039,,,
11142,Festes-et-Saint-André,1846,11142,202,0.109425785,,,
11143,Feuilla,2436,11143,106,0.043513957,,,
11144,Fitou,3059,11144,1060,0.34651847,,,
11145,Fleury,5170,11145,3801,0.735203095,,,
11146,Floure,461,11146,407,0.882863341,,,
11147,Fontanès-de-Sault,565,11147,5,0.008849558,,,
11148,Fontcouverte,1018,11148,550,0.540275049,,,
11149,Fonters-du-Razès,1255,11149,79,0.062948207,,,
11150,Fontiers-Cabardès,878,11150,452,0.514806378,,,
11151,Fontiès-d'Aude,608,11151,498,0.819078947,,,
11152,Fontjoncouse,2762,11152,130,0.047067343,,,
11153,La Force,474,11153,232,0.489451477,,,
11154,Fournes-Cabardès,1274,11154,50,0.039246468,,,
11155,Fourtou,2094,11155,76,0.036294174,,,
11156,Fraisse-Cabardès,740,11156,104,0.140540541,,,
11157,Fraissé-des-Corbières,1917,11157,213,0.111111111,,,
11158,Gaja-et-Villedieu,801,11158,289,0.360799001,,,
11159,Gaja-la-Selve,1175,11159,140,0.119148936,,,
11160,Galinagues,423,11160,37,0.087470449,,,
11161,Gardie,478,11161,124,0.259414226,,,
11162,Generville,1053,11162,59,0.056030389,,,
11163,Gincla,800,11163,47,0.05875,,,
11164,Ginestas,952,11164,1473,1.547268908,,,
11165,Ginoles,636,11165,303,0.476415094,,,
11166,Gourvieille,320,11166,78,0.24375,,,
11167,Gramazie,198,11167,123,0.621212121,,,
11168,Granès,554,11168,96,0.173285199,,,
11169,Greffeil,1427,11169,82,0.05746321,,,
11170,Gruissan,6210,11170,5044,0.812238325,,,
11172,Homps,309,11172,596,1.928802589,,,
11173,Hounoux,787,11173,133,0.168996188,,,
11174,Les Ilhes,416,11174,54,0.129807692,,,
11175,Issel,1818,11175,482,0.265126513,,,
11176,Jonquières,1362,11176,59,0.043318649,,,
11177,Joucou,666,11177,34,0.051051051,,,
11178,Labastide-d'Anjou,872,11178,1307,1.498853211,,,
11179,Labastide-en-Val,1205,11179,91,0.075518672,,,
11180,Labastide-Esparbairenque,1720,11180,67,0.038953488,,,
11181,Labécède-Lauragais,2044,11181,404,0.197651663,,,
11182,Lacombe,1562,11182,175,0.112035851,,,
11183,Ladern-sur-Lauquet,2562,11183,268,0.104605777,,,
11184,Lafage,1298,11184,90,0.069337442,,,
11185,Lagrasse,3212,11185,544,0.169364882,,,
11186,Lairière,1344,11186,53,0.039434524,,,
11187,Lanet,890,11187,53,0.059550562,,,
11188,La Palme,3254,11188,1674,0.514443762,,,
11189,Laprade,467,11189,104,0.222698073,,,
11190,La Redorte,1360,11190,1194,0.877941176,,,
11191,Laroque-de-Fa,2075,11191,151,0.072771084,,,
11192,Lasbordes,1546,11192,787,0.509055627,,,
11193,Lasserre-de-Prouille,439,11193,271,0.617312073,,,
11194,Lastours,283,11194,157,0.554770318,,,
11195,Laurabuc,835,11195,415,0.497005988,,,
11196,Laurac,1203,11196,177,0.14713217,,,
11197,Lauraguel,727,11197,608,0.836313618,,,
11198,Laure-Minervois,4065,11198,1035,0.254612546,,,
11199,Lavalette,679,11199,1495,2.201767305,,,
11200,Lespinassière,1670,11200,133,0.079640719,,,
11201,Leuc,1170,11201,857,0.732478632,,,
11202,Leucate,4806,11202,4520,0.940491053,,,
11203,Lézignan-Corbières,3820,11203,11248,2.944502618,,,
11204,Lignairolles,752,11204,46,0.061170213,,,
11205,Limousis,1030,11205,131,0.127184466,,,
11206,Limoux,3248,11206,10112,3.113300493,,,
11207,Loupia,460,11207,240,0.52173913,,,
11208,La Louvière-Lauragais,619,11208,78,0.126009693,,,
11209,Luc-sur-Aude,800,11209,246,0.3075,,,
11210,Luc-sur-Orbieu,993,11210,1138,1.146022155,,,
11211,Magrie,1026,11211,531,0.51754386,,,
11212,Mailhac,1058,11212,570,0.538752363,,,
11213,Maisons,1203,11213,48,0.039900249,,,
11214,Malras,438,11214,407,0.929223744,,,
11215,Malves-en-Minervois,505,11215,860,1.702970297,,,
11216,Malviès,742,11216,370,0.498652291,,,
11217,Marcorignan,570,11217,1316,2.30877193,,,
11218,Marquein,566,11218,84,0.148409894,,,
11219,Marsa,1963,11219,18,0.009169638,,,
11220,Marseillette,1114,11220,708,0.635547576,,,
11221,Les Martys,1962,11221,299,0.152395515,,,
11222,Mas-Cabardès,931,11222,182,0.195488722,,,
